Network Type,Band,Num_Carriers,SINR,RB,TH_CWD0,TH_CWD1,ANT,TRANS,RANK,BLER,CQI_CWD0,CQI_CWD1,MCS_CWD0,MCS_CWD1
CX,U,4,16.9,100,27.13,24.2,2x2,4,2,9.4,8,6,,
CX,U,4,15.2,100,29.66,24.16,2x2,4,2,8.9,8,6,,
CX,L,4,12.5,63,13.99,18.3,4x4,4,,71.9,8,7,16QAM,16QAM
CX,U,4,14.3,100,31.6,26.67,2x2,4,2,9.6,8,6,64QAM,64QAM
CX,U,4,15,100,27.41,23.35,2x2,4,1,8.3,9,2,,
CX,U,4,11.9,100,26.07,19.51,2x2,4,2,9.5,8,2,,
CX,L,4,12.1,69,18.94,36.17,4x4,4,,9.9,6,7,64QAM,64QAM
CX,U,4,14.7,100,30.38,28.43,2x2,4,2,10.2,8,5,64QAM,64QAM
CX,U,4,15,100,42.38,3.11,2x2,4,1,9.3,11,0,,
CX,U,4,12.8,100,28.45,9.11,2x2,4,2,7.2,6,4,,
CX,L,4,15.1,64,7.46,12.66,4x4,4,2,6.9,8,9,16QAM,16QAM
CX,U,4,15.8,100,37.72,18.07,2x2,4,2,11.1,8,5,256QAM,64QAM
CX,U,4,15,100,29.47,17.16,2x2,4,1,9.1,9,3,,
CX,U,4,12.9,100,33.44,11.73,2x2,4,1,9.7,7,3,,
CX,L,4,20,11,2.76,2.91,4x4,4,2,8.6,11,11,64QAM,64QAM
CX,U,4,17.3,100,29.1,35.69,2x2,4,2,10,8,6,64QAM,64QAM
CX,U,4,17.1,100,27.66,29.94,2x2,4,2,8.6,10,4,,
CX,U,4,14.7,100,32.42,23.22,2x2,4,2,9.9,8,5,,
CX,L,4,15.3,6,1.44,2.27,4x4,4,,9.4,7,8,64QAM,64QAM
CX,U,4,14.7,100,30.67,25.62,2x2,4,2,10.8,7,5,64QAM,64QAM
CX,U,4,14.4,100,26.96,18.34,2x2,4,1,9.9,7,5,,
CX,U,4,13.7,100,32.17,16,2x2,4,1,9.6,8,4,,
CX,L,4,16.3,42,6.56,8.26,4x4,4,2,9,8,8,16QAM,16QAM
CX,U,4,20.1,100,33.91,37.97,2x2,4,2,10.4,8,8,64QAM,256QAM
CX,U,4,19.7,100,27.11,27.29,2x2,4,2,8.5,8,8,,
CX,U,4,17.4,100,29.71,28.07,2x2,4,2,9.5,8,7,,
CX,L,4,13.7,65,10.12,16.16,4x4,4,,9.4,7,6,16QAM,16QAM
CX,U,4,17.2,99,34.27,22.41,2x2,4,2,10.9,6,8,64QAM,64QAM
CX,U,4,17.4,100,26.65,23.28,2x2,4,2,8.4,7,8,,
CX,U,4,15.2,100,30.61,17.88,2x2,4,2,10,8,4,,
CX,L,4,12.7,35,8.19,8.96,4x4,4,,9.7,7,7,16QAM,16QAM
CX,U,4,17.3,100,31.76,28.45,2x2,4,2,9.3,6,8,64QAM,64QAM
CX,U,4,18,99,29.22,24.57,2x2,4,2,8.9,8,9,,
CX,U,4,15.4,100,29.8,20.23,2x2,4,2,9.3,8,5,,
CX,L,4,12.7,55,9.68,8.41,4x4,4,2,8,8,8,16QAM,16QAM
CX,U,4,14,100,30.58,16.75,2x2,4,2,10,8,3,64QAM,64QAM
CX,U,4,14.4,100,29.45,12.41,2x2,4,2,8.9,10,1,,
CX,U,4,12.5,100,26.88,10.65,2x2,4,1,8.7,8,3,,
CX,L,4,18.9,40,6.95,7.38,4x4,4,2,71.4,12,12,16QAM,16QAM
CX,U,4,19.4,99,49.49,29.34,2x2,4,2,9.9,9,8,256QAM,256QAM
CX,U,4,19.7,100,41.36,32.74,2x2,4,2,9.6,12,7,,
CX,U,4,17.7,100,40.35,28.7,2x2,4,2,11.1,9,7,,
CX,L,4,17.5,29,6.33,7.35,4x4,4,2,10.6,11,12,64QAM,64QAM
CX,U,4,23.8,99,58.09,37.28,2x2,4,2,10.4,14,4,256QAM,256QAM
CX,U,4,24.1,99,52.84,36.88,2x2,4,2,10.6,12,8,,
CX,U,4,22.5,100,50.2,33.83,2x2,4,2,11.1,12,11,,
CX,L,4,15.1,45,8.08,9.74,4x4,4,2,9.9,10,10,16QAM,64QAM
CX,U,4,22.8,100,55.94,45.61,2x2,4,2,7.6,12,11,256QAM,256QAM
CX,U,4,23.2,100,50.62,45.52,2x2,4,2,6.7,12,11,,
CX,U,4,21.5,100,46.95,40.35,2x2,4,2,7.4,12,9,,
CX,L,4,12.3,43,7.05,9.23,4x4,4,2,10.1,9,10,16QAM,64QAM
CX,U,4,21.2,100,48.36,46.96,2x2,4,1,11,9,10,256QAM,256QAM
CX,U,4,22.3,100,45.5,44.55,2x2,4,2,10.8,12,9,,
CX,U,4,20.2,100,42.82,40.21,2x2,4,2,9.9,11,6,,
CX,L,4,12.5,33,6.91,7.69,4x4,4,2,8.7,9,9,64QAM,64QAM
CX,U,4,20.5,100,42.45,35.68,2x2,4,1,9.8,12,6,256QAM,256QAM
CX,U,4,21.2,100,37.32,37.06,2x2,4,2,9.5,10,9,,
CX,U,4,19.3,100,41.12,31.5,2x2,4,2,9.9,11,6,,
CX,L,4,8.8,8,1.33,1.15,4x4,4,2,9.1,8,7,64QAM,16QAM
CX,U,4,16.9,99,43.14,22.52,2x2,4,2,9.6,11,4,256QAM,64QAM
CX,U,4,16.9,99,41.29,20.05,2x2,4,2,8.8,10,5,,
CX,U,4,16.4,100,36.38,22.47,2x2,4,2,10.3,8,6,,
CX,L,4,2.4,4,0.62,0.15,4x4,4,1,9.7,7,2,64QAM,16QAM
CX,U,4,11.6,100,34.21,3.13,2x2,4,1,9.5,9,0,64QAM,16QAM
CX,U,4,12,100,25.97,1.62,2x2,4,2,8.3,9,0,,
CX,U,4,10.7,100,34.46,0.94,2x2,4,1,9.3,8,0,,
CX,L,4,3.3,4,0.74,0.46,4x4,4,2,8.7,6,3,64QAM,64QAM
CX,U,4,10.7,100,27.42,6.54,2x2,4,1,9.2,7,3,64QAM,16QAM
CX,U,4,11.5,100,25.19,6.25,2x2,4,2,10.2,9,0,,
CX,U,4,9.5,100,25.04,3.15,2x2,4,1,8.9,7,1,,
CX,L,4,5.8,6,0.83,0.6,4x4,4,2,8.6,6,6,64QAM,64QAM
CX,U,4,12.7,100,35.77,3.38,2x2,4,1,10.5,9,0,256QAM,16QAM
CX,U,4,13.2,100,37.57,1.12,2x2,4,1,9.1,9,0,,
CX,U,4,11.2,100,29.82,4.93,2x2,4,2,9.1,7,2,,
CX,L,4,6.5,14,2.55,0.81,4x4,4,1,1.7,7,4,64QAM,16QAM
CX,U,4,12.6,100,29.34,6.61,2x2,4,1,10.1,10,0,64QAM,16QAM
CX,U,4,12.9,100,28.36,5.28,2x2,4,1,71.4,8,3,,
CX,U,4,11.4,100,28.09,3.97,2x2,4,1,9.6,6,4,,
CX,L,4,6.2,26,6.37,2.29,4x4,4,2,7.5,6,4,64QAM,16QAM
CX,U,4,9.9,100,24.95,6.35,2x2,4,1,9,6,2,64QAM,16QAM
CX,U,4,9.6,100,21.71,5.14,2x2,4,1,8.4,7,2,,
CX,U,4,9,100,24.64,4.49,2x2,4,1,9.8,6,1,,
CX,L,4,8,25,5.27,1.65,4x4,4,2,7.6,7,4,64QAM,16QAM
CX,U,4,11.3,100,31.66,4.69,2x2,4,2,7.7,8,1,64QAM,16QAM
CX,U,4,11.3,100,28.3,5.47,2x2,4,2,7.1,8,1,,
CX,U,4,11.3,100,33.7,1.77,2x2,4,1,7.8,9,0,,
CX,L,4,11,31,8.08,1.86,4x4,4,2,9.6,9,5,64QAM,16QAM
CX,U,4,12,100,29.59,14.96,2x2,4,2,9.8,7,4,64QAM,64QAM
CX,U,4,11.6,100,30.5,9.18,2x2,4,1,9.3,7,2,,
CX,U,4,11.7,100,29.63,12.14,2x2,4,1,9.9,7,3,,
CX,L,5,15.4,90,53.69,1.95,4x2,4,1,9.8,14,0,256QAM,256QAM
CX,U,5,27.5,82,41.84,28.14,2x2,4,2,8.4,,,256QAM,256QAM
CX,U,5,27.6,93,48.81,42.56,2x2,4,2,10.4,,,,
CX,U,5,26,94,33.43,25.88,2x2,4,2,24.5,,,,
CX,L,5,13.4,87,35.94,28.81,4x2,4,2,10.7,8,6,64QAM,64QAM
CX,U,5,23.3,96,39.26,34.29,2x2,4,2,9.6,4,4,256QAM,256QAM
CX,U,5,21.6,96,37.58,32.68,2x2,4,2,9.9,4,4,,
CX,U,5,23.6,96,39.12,31.61,2x2,4,1,7.4,9,7,,
CX,L,5,13.5,93,27.61,19.68,4x2,4,2,10.9,12,0,64QAM,64QAM
CX,L,4,13.2,13,6,8.5,,,,10.1,,,64QAM,256QAM
CX,U,4,11.8,91,1.26,0.75,,,,36.5,,,16QAM,16QAM
CX,U,4,10.1,98,15.93,14.07,,,,10.2,,,,
CX,U,4,8.9,96,26.38,6.05,,,,5.6,,,,
CX,U,4,11.3,91,1.26,0.75,,,,36.5,,,16QAM,16QAM
CX,L,4,11.6,14,8.24,8.14,4x4,4,2,9.6,9,11,256QAM,256QAM
CX,U,4,12.4,100,4.44,2.07,2x2,4,2,21.4,9,6,16QAM,16QAM
CX,U,4,11.1,100,41.88,7.5,2x2,4,1,14.1,8,1,,
CX,U,4,10.8,100,45.85,1.24,2x2,4,1,10,9,0,,
CX,L,4,10.4,14,8.18,8.48,4x4,4,2,9.7,9,10,256QAM,256QAM
CX,U,4,12.7,100,4.71,3.11,2x2,4,2,17.8,7,5,16QAM,16QAM
CX,U,4,12.5,100,50.09,1.5,2x2,4,2,13.6,9,0,,
CX,U,4,12.1,100,48.54,0,2x2,4,1,10.6,10,0,,
CX,L,4,9.9,14,8.02,8.79,4x4,4,2,8.2,9,10,256QAM,256QAM
CX,U,4,13.3,100,32.77,34.31,2x2,4,2,0,7,6,16QAM,16QAM
CX,U,4,12.8,100,37.29,11.62,2x2,4,2,12.4,8,3,,
CX,U,4,11.9,100,42.92,3.82,2x2,4,1,10.4,9,1,,
CX,L,4,10.1,14,8.35,9.12,4x4,4,2,10.4,9,9,256QAM,256QAM
CX,U,4,19.4,0,,,,,,0,10,7,,
CX,U,4,13.3,100,32.03,15.44,2x2,4,2,11.4,7,4,,
CX,U,4,12.2,100,50.62,0,2x2,4,1,10,11,0,,
CX,L,4,11.1,15,8.75,10.02,4x4,4,2,9,9,9,256QAM,256QAM
CX,U,4,10.4,0,,,,,,0,7,5,,
CX,U,4,11.9,100,31.36,15.25,2x2,4,2,11.7,6,4,,
CX,U,4,11.4,100,40.37,1.84,2x2,4,1,11.6,9,0,,
